JCR_Abbrev,Year,EligibleArticles,%Bars,%InformativeGraphs
CIRCULATION,2010,116,72.36851008418878,15.412830928447686
CIRCULATION,2011,103,71.79182130213806,9.131972393144498
CIRCULATION,2012,97,60.98919873151385,15.382326722645864
CIRCULATION,2013,128,61.770883658675196,19.909078055401118
CIRCULATION,2014,110,63.63138763515478,19.529077494747447
CIRCULATION,2015,120,50.27643550756614,25.830926827494604
CIRCULATION,2016,126,46.78243871226053,35.888001399745995
CIRCULATION,2017,126,53.71921499540395,38.02429210319994
CIRCULATION,2018,105,41.81798548544529,33.69094948028725
CIRCULATION,2019,125,45.462695268330705,50.65005688037168
CIRCULATION,2020,136,44.84537884122287,49.94481301183958
CIRCULATION,2021,109,45.89369089310305,53.217758105253594
CIRCULATION,2022,106,32.81565195475397,51.21439114328642
CIRCULATION,2023,131,33.4535661445746,65.92002931521398
CIRCULATION,2024,115,33.23872450298772,65.12753250766765
CIRCULATION,2025,130,32.78867746045403,57.576172814352844
CIRC RES,2010,169,72.14396612043949,19.732332054847245
CIRC RES,2011,163,57.92339062887644,27.198719767330235
CIRC RES,2012,174,46.05840838008518,14.723211609681885
CIRC RES,2013,156,70.12508965579514,18.44306715500298
CIRC RES,2014,168,55.93354762382229,35.4660401827257
CIRC RES,2015,185,54.329756718461304,28.906856840366324
CIRC RES,2016,191,57.27255576329419,31.435541286527332
CIRC RES,2017,176,45.00497036061392,35.26319930990439
CIRC RES,2018,163,39.62782167024363,52.17742200307525
CIRC RES,2019,173,49.34565586483367,33.98688321044839
CIRC RES,2020,169,41.43658409231879,48.611395800607795
CIRC RES,2021,167,35.09411310889356,52.063032360811626
CIRC RES,2022,184,31.221874209716397,61.12120099605576
CIRC RES,2023,183,28.36903135552303,54.558265198882296
CIRC RES,2024,168,26.937746385241688,64.27643990549161
CIRC RES,2025,168,32.486768193145004,64.79372786940303
CIRC-CARDIOVASC IMAG,2010,134,67.04556956108647,13.528226818760846
CIRC-CARDIOVASC IMAG,2011,96,75.71310304539385,18.974912583587617
CIRC-CARDIOVASC IMAG,2012,130,55.32154846609823,25.043498770083747
CIRC-CARDIOVASC IMAG,2013,115,66.0546466439943,22.694951471773596
CIRC-CARDIOVASC IMAG,2014,136,53.2401587306876,38.15744342080718
CIRC-CARDIOVASC IMAG,2015,115,46.6025291011659,28.39688553857471
CIRC-CARDIOVASC IMAG,2016,127,52.62964704158895,32.43095342975813
CIRC-CARDIOVASC IMAG,2017,110,50.52858362517021,37.338161098934634
